sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
8	1	1	0	2	2	0.1000	0.2611	0	1	0.565
8	1	2	0	1	3	0.1000	0.2611	0	1	0.543
8	1	3	0	2	3	0.1000	0.2611	0	0	0.459
8	1	4	0	2	3	0.1000	0.2611	1	1	0.444
8	1	5	0	1	2	0.1000	0.2611	1	0	0.449
8	1	6	0	2	2	0.1000	0.2611	1	1	0.501
8	1	7	0	1	2	0.1000	0.2611	1	1	0.678
8	1	8	0	2	3	0.1000	0.2611	0	1	0.488
8	1	9	0	2	3	0.1000	0.2611	1	1	0.525
8	1	10	0	1	3	0.1000	0.2611	1	1	0.557
8	1	11	0	1	1	0.1000	0.2611	1	0	0.464
8	1	12	0	1	3	0.1000	0.2611	1	1	0.642
8	1	13	0	2	1	0.1000	0.2611	0	0	0.691
8	1	14	0	1	1	0.1000	0.2611	0	1	0.484
8	1	15	0	1	2	0.1000	0.2611	0	1	0.494
8	1	16	0	1	1	0.1000	0.2611	0	1	0.500
8	1	17	0	1	3	0.1000	0.2611	0	1	0.465
8	1	18	0	2	1	0.1000	0.2611	1	1	0.492
8	1	19	0	2	2	0.1000	0.2611	0	1	0.457
8	1	20	0	1	3	0.1000	0.2611	0	1	0.538
8	1	21	0	1	3	0.1000	0.2611	1	1	0.568
8	1	22	0	2	1	0.1000	0.2611	0	1	0.459
8	1	23	0	2	2	0.1000	0.2611	0	1	0.531
8	1	24	0	2	1	0.1000	0.2611	1	1	0.450
8	1	25	0	1	1	0.1000	0.2611	1	0	0.412
8	1	26	0	2	2	0.1000	0.2611	1	1	0.468
8	1	27	0	2	2	0.1000	0.2611	0	1	0.485
8	1	28	0	2	2	0.1000	0.2611	1	1	0.409
8	1	29	0	1	3	0.1000	0.2611	0	1	0.404
8	1	30	0	1	3	0.1000	0.2611	1	1	0.504
8	1	31	0	2	2	0.1000	0.2611	1	1	0.405
8	1	32	0	1	2	0.1000	0.2611	0	1	0.387
8	1	33	1	1	3	0.1000	0.2611	0	1	0.446
8	1	34	1	2	3	0.1000	0.2611	1	1	0.401
8	1	35	1	1	2	0.1000	0.2611	1	0	0.379
8	1	36	1	1	1	0.1000	0.2611	1	1	0.530
8	1	37	1	1	2	0.1000	0.2611	0	1	0.550
8	1	38	1	1	2	0.1000	0.2611	1	1	0.571
8	1	39	1	2	2	0.1000	0.2611	0	1	0.471
8	1	40	1	2	2	0.1000	0.2611	1	1	0.489
8	1	41	1	1	2	0.1000	0.2611	0	1	0.413
8	1	42	1	1	3	0.1000	0.2611	1	1	0.346
8	1	43	1	2	2	0.1000	0.2611	1	1	0.406
8	1	44	1	2	2	0.1000	0.2611	1	1	0.449
8	1	45	1	2	2	0.1000	0.2611	1	1	0.458
8	1	46	1	2	3	0.1000	0.2611	0	1	0.454
8	1	47	1	2	1	0.1000	0.2611	1	1	0.397
8	1	48	1	1	3	0.1000	0.2611	0	1	0.354
8	1	49	1	1	3	0.1000	0.2611	1	0	0.441
8	1	50	1	1	3	0.1000	0.2611	1	1	0.574
8	1	51	1	1	1	0.1000	0.2611	0	1	0.420
8	1	52	1	1	3	0.1000	0.2611	1	1	0.416
8	1	53	1	1	3	0.1000	0.2611	0	1	0.366
8	1	54	1	2	1	0.1000	0.2611	1	1	0.455
8	1	55	1	2	3	0.1000	0.2611	1	1	0.365
8	1	56	1	2	2	0.1000	0.2611	0	0	0.436
8	1	57	1	1	1	0.1000	0.2611	0	1	0.437
8	1	58	1	2	3	0.1000	0.2611	0	1	0.505
8	1	59	1	2	2	0.1000	0.2611	0	1	0.494
8	1	60	1	1	3	0.1000	0.2611	0	1	0.421
8	1	61	1	2	1	0.1000	0.2611	0	1	0.608
8	1	62	1	2	1	0.1000	0.2611	0	1	0.493
8	1	63	1	1	1	0.1000	0.2611	1	1	0.478
8	1	64	1	2	2	0.1000	0.2611	0	1	0.483
