sub	sess	t	loc	cue	co1	co2	or	resp	rt
8	1	1	1	3	0.1000	0.2611	1	1	0.734
8	1	2	2	3	0.1000	0.2611	1	1	0.763
8	1	3	1	3	0.1000	0.2611	1	1	0.605
8	1	4	1	3	0.1000	0.2611	1	1	0.636
8	1	5	2	3	0.1000	0.2611	0	1	0.781
8	1	6	2	3	0.1000	0.2611	0	1	0.547
8	1	7	1	3	0.1000	0.2611	0	1	0.785
8	1	8	2	3	0.1000	0.2611	1	1	0.505
8	1	9	1	3	0.1000	0.2611	0	1	0.527
8	1	10	1	3	0.1000	0.2611	1	1	0.676
8	1	11	1	3	0.1000	0.2611	1	1	0.665
8	1	12	1	3	0.1000	0.2611	1	1	0.551
8	1	13	1	3	0.1000	0.2611	0	1	0.763
8	1	14	1	3	0.1000	0.2611	1	1	0.561
8	1	15	1	3	0.1000	0.2611	0	1	0.639
8	1	16	1	3	0.1000	0.2611	0	1	0.466
8	1	17	1	3	0.1000	0.2611	0	1	0.645
8	1	18	1	3	0.1000	0.2611	1	1	0.620
8	1	19	1	3	0.1000	0.2611	0	1	0.583
8	1	20	1	3	0.1000	0.2611	0	1	0.470
8	1	21	2	3	0.1000	0.2611	1	1	0.584
8	1	22	1	3	0.1000	0.2611	1	1	0.432
8	1	23	1	3	0.1000	0.2611	0	1	0.523
8	1	24	2	3	0.1000	0.2611	1	1	0.470
8	1	25	1	3	0.1000	0.2611	0	1	0.424
8	1	26	1	3	0.1000	0.2611	1	1	0.449
8	1	27	1	3	0.1000	0.2611	1	0	0.402
8	1	28	1	3	0.1000	0.2611	1	1	0.551
8	1	29	1	3	0.1000	0.2611	0	1	0.517
8	1	30	1	3	0.1000	0.2611	0	1	0.529
8	1	31	1	3	0.1000	0.2611	1	1	0.567
8	1	32	1	3	0.1000	0.2611	1	0	0.421
8	1	33	1	3	0.1000	0.2611	1	1	0.420
8	1	34	2	3	0.1000	0.2611	0	1	0.503
8	1	35	1	3	0.1000	0.2611	0	1	0.474
8	1	36	2	3	0.1000	0.2611	0	1	0.405
8	1	37	1	3	0.1000	0.2611	0	1	0.450
8	1	38	1	3	0.1000	0.2611	0	1	0.546
8	1	39	1	3	0.1000	0.2611	1	1	0.506
8	1	40	1	3	0.1000	0.2611	0	1	0.388
8	1	41	1	3	0.1000	0.2611	0	1	0.435
8	1	42	1	3	0.1000	0.2611	1	0	0.347
8	1	43	2	3	0.1000	0.2611	1	1	0.510
8	1	44	1	3	0.1000	0.2611	1	1	0.520
