sub	sess	t	loc	co1	co2	or	resp	rt
8	1	1	1	1.0000	1.0000	1	1	2.355
8	1	2	2	1.0000	1.0000	1	1	0.833
8	1	3	2	1.0000	1.0000	1	1	0.540
8	1	4	2	1.0000	1.0000	1	1	0.595
8	1	5	2	1.0000	1.0000	1	1	0.663
8	1	6	2	1.0000	1.0000	0	0	0.576
8	1	7	1	1.0000	1.0000	1	1	1.733
8	1	8	2	1.0000	1.0000	0	1	0.835
8	1	9	2	1.0000	1.0000	0	0	0.854
8	1	10	1	1.0000	1.0000	0	1	1.319
8	1	11	2	1.0000	1.0000	1	1	0.843
8	1	12	2	1.0000	1.0000	0	1	0.978
8	1	13	1	1.0000	1.0000	1	1	0.561
8	1	14	1	1.0000	1.0000	1	1	0.871
8	1	15	1	1.0000	1.0000	1	1	0.585
8	1	16	2	1.0000	1.0000	0	1	0.482
8	1	17	1	1.0000	1.0000	1	1	0.454
8	1	18	1	1.0000	1.0000	0	1	0.635
8	1	19	1	1.0000	1.0000	0	1	0.654
8	1	20	1	1.0000	1.0000	0	1	0.510
8	1	21	2	1.0000	1.0000	0	1	1.148
8	1	22	2	1.0000	1.0000	1	1	1.068
8	1	23	1	1.0000	1.0000	1	1	0.692
8	1	24	1	1.0000	1.0000	0	1	0.674
8	1	25	2	1.0000	1.0000	0	1	0.698
8	1	26	2	1.0000	1.0000	1	1	0.925
8	1	27	1	1.0000	1.0000	0	1	0.758
8	1	28	1	1.0000	1.0000	1	1	0.627
8	1	29	2	0.2500	0.2500	0	1	0.627
8	1	30	1	0.2629	0.2629	0	1	0.627
8	1	31	2	0.2758	0.2758	1	1	0.627
8	1	32	1	0.2887	0.2887	0	1	0.627
8	1	33	1	0.3016	0.3016	1	1	0.627
8	1	34	1	0.3145	0.3145	0	1	0.627
8	1	35	1	0.3274	0.3274	1	1	0.627
8	1	36	1	0.3403	0.3403	1	1	0.627
8	1	37	1	0.3532	0.3532	0	1	0.627
8	1	38	1	0.3661	0.3661	1	1	0.627
8	1	39	1	0.3790	0.3790	0	1	0.627
8	1	40	1	0.3919	0.3919	1	1	0.627
8	1	41	1	0.4048	0.4048	1	1	0.627
8	1	42	1	0.4177	0.4177	0	1	0.627
8	1	43	2	0.4306	0.4306	0	1	0.627
8	1	44	2	0.4435	0.4435	1	1	0.627
8	1	45	2	0.4565	0.4565	0	1	0.627
8	1	46	1	0.4694	0.4694	1	1	0.627
8	1	47	1	0.4823	0.4823	1	1	0.627
8	1	48	1	0.4952	0.4952	0	1	0.627
8	1	49	2	0.5081	0.5081	1	1	0.627
8	1	50	2	0.5210	0.5210	0	1	0.627
8	1	51	2	0.5339	0.5339	0	1	0.627
8	1	52	2	0.5468	0.5468	0	1	0.627
8	1	53	1	0.5597	0.5597	0	1	0.627
8	1	54	2	0.5726	0.5726	1	1	0.627
8	1	55	1	0.5855	0.5855	0	1	0.627
8	1	56	2	0.5984	0.5984	0	1	0.627
8	1	57	1	0.6113	0.6113	0	1	0.627
8	1	58	2	0.6242	0.6242	1	1	0.627
8	1	59	1	0.6371	0.6371	1	1	0.627
8	1	60	2	0.6500	0.6500	1	1	0.627
8	1	61	2	0.2500	0.2500	0	1	0.627
