sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
7	1	1	0	1	1	0.6821	0.7952	1	1	1.088
7	1	2	0	2	1	0.6821	0.7952	0	1	1.209
7	1	3	0	2	3	0.6821	0.7952	1	1	1.207
7	1	4	0	2	3	0.6821	0.7952	0	1	1.026
7	1	5	0	2	3	0.6821	0.7952	1	0	1.103
7	1	6	0	2	1	0.6821	0.7952	1	1	1.006
7	1	7	0	2	1	0.6821	0.7952	0	1	0.849
7	1	8	0	1	2	0.6821	0.7952	1	1	1.040
7	1	9	0	2	1	0.6821	0.7952	0	1	0.870
7	1	10	0	1	1	0.6821	0.7952	0	1	0.732
7	1	11	0	1	3	0.6821	0.7952	0	1	1.245
7	1	12	0	1	3	0.6821	0.7952	0	1	1.730
7	1	13	0	1	3	0.6821	0.7952	1	1	1.392
7	1	14	0	1	3	0.6821	0.7952	1	1	0.722
7	1	15	0	1	2	0.6821	0.7952	0	0	0.696
7	1	16	0	2	1	0.6821	0.7952	1	0	0.871
7	1	17	0	1	3	0.6821	0.7952	0	1	0.830
7	1	18	0	1	1	0.6821	0.7952	1	0	0.744
7	1	19	0	2	1	0.6821	0.7952	1	1	1.121
7	1	20	0	1	2	0.6821	0.7952	1	0	0.634
7	1	21	0	1	2	0.6821	0.7952	0	1	0.601
7	1	22	0	2	2	0.6821	0.7952	1	1	0.791
7	1	23	0	2	2	0.6821	0.7952	1	1	0.780
7	1	24	0	2	2	0.6821	0.7952	0	1	0.663
7	1	25	0	2	1	0.6821	0.7952	1	0	1.302
7	1	26	0	2	2	0.6821	0.7952	0	1	0.937
7	1	27	0	1	3	0.6821	0.7952	1	1	1.294
7	1	28	0	2	3	0.6821	0.7952	0	1	0.996
7	1	29	0	1	3	0.6821	0.7952	1	1	1.127
7	1	30	0	1	1	0.6821	0.7952	0	1	0.732
7	1	31	0	2	1	0.6821	0.7952	0	1	1.407
7	1	32	0	1	3	0.6821	0.7952	0	1	0.697
7	1	33	1	1	1	0.6821	0.7952	0	1	0.620
7	1	34	1	1	3	0.6821	0.7952	1	1	0.731
7	1	35	1	2	2	0.6821	0.7952	1	1	1.021
7	1	36	1	2	2	0.6821	0.7952	0	1	1.370
7	1	37	1	1	2	0.6821	0.7952	1	1	0.834
7	1	38	1	1	2	0.6821	0.7952	0	1	1.587
7	1	39	1	1	2	0.6821	0.7952	0	0	1.056
7	1	40	1	2	3	0.6821	0.7952	1	0	0.945
7	1	41	1	2	1	0.6821	0.7952	1	1	0.987
7	1	42	1	1	3	0.6821	0.7952	0	1	0.969
7	1	43	1	2	1	0.6821	0.7952	0	1	0.888
7	1	44	1	1	3	0.6821	0.7952	1	0	0.725
7	1	45	1	2	3	0.6821	0.7952	0	1	0.749
7	1	46	1	1	1	0.6821	0.7952	1	1	0.706
7	1	47	1	2	3	0.6821	0.7952	1	0	1.370
7	1	48	1	2	1	0.6821	0.7952	0	1	0.932
7	1	49	1	1	2	0.6821	0.7952	1	1	1.374
7	1	50	1	1	3	0.6821	0.7952	0	0	1.203
7	1	51	1	2	1	0.6821	0.7952	1	0	1.351
7	1	52	1	1	3	0.6821	0.7952	0	0	0.906
7	1	53	1	2	2	0.6821	0.7952	0	1	1.118
7	1	54	1	1	3	0.6821	0.7952	1	0	1.018
7	1	55	1	2	1	0.6821	0.7952	1	0	1.041
7	1	56	1	1	3	0.6821	0.7952	0	0	0.883
7	1	57	1	2	1	0.6821	0.7952	0	1	1.185
7	1	58	1	1	3	0.6821	0.7952	1	0	1.562
7	1	59	1	2	1	0.6821	0.7952	1	1	2.604
7	1	60	1	1	1	0.6821	0.7952	1	0	1.067
7	1	61	1	2	3	0.6821	0.7952	0	1	0.907
7	1	62	1	2	2	0.6821	0.7952	1	0	1.542
7	1	63	1	2	1	0.6821	0.7952	0	1	0.841
7	1	64	1	1	1	0.6821	0.7952	0	1	0.766
