sub	sess	t	loc	cue	co1	co2	or	resp	rt
7	1	1	1	3	0.6821	0.7952	0	0	1.625
7	1	2	2	3	0.6821	0.7952	1	1	1.565
7	1	3	1	3	0.6821	0.7952	1	0	1.614
7	1	4	1	3	0.6821	0.7952	1	1	1.371
7	1	5	1	3	0.6821	0.7952	1	1	1.192
7	1	6	1	3	0.6821	0.7952	0	0	1.594
7	1	7	2	3	0.6821	0.7952	0	1	1.064
7	1	8	1	3	0.6821	0.7952	0	0	1.083
7	1	9	2	3	0.6821	0.7952	1	0	1.198
7	1	10	1	3	0.6821	0.7952	0	1	4.088
7	1	11	1	3	0.6821	0.7952	1	1	1.010
7	1	12	1	3	0.6821	0.7952	0	0	1.339
7	1	13	1	3	0.6821	0.7952	1	1	1.850
7	1	14	1	3	0.6821	0.7952	0	0	2.585
7	1	15	1	3	0.6821	0.7952	1	1	2.500
7	1	16	1	3	0.6821	0.7952	1	1	1.147
7	1	17	1	3	0.6821	0.7952	0	0	1.531
7	1	18	2	3	0.6821	0.7952	0	1	1.155
7	1	19	1	3	0.6821	0.7952	1	0	1.227
7	1	20	1	3	0.6821	0.7952	0	1	2.639
7	1	21	1	3	0.6821	0.7952	1	1	1.379
7	1	22	1	3	0.6821	0.7952	0	1	1.204
7	1	23	2	3	0.6821	0.7952	1	1	2.039
7	1	24	2	3	0.6821	0.7952	0	0	1.584
7	1	25	1	3	0.6821	0.7952	1	1	1.133
7	1	26	1	3	0.6821	0.7952	0	1	1.342
7	1	27	2	3	0.6821	0.7952	0	1	1.891
7	1	28	1	3	0.6821	0.7952	1	0	1.173
7	1	29	1	3	0.6821	0.7952	1	0	1.226
7	1	30	1	3	0.6821	0.7952	1	1	2.628
7	1	31	1	3	0.6821	0.7952	1	0	1.075
7	1	32	1	3	0.6821	0.7952	1	0	2.785
7	1	33	1	3	0.6821	0.7952	0	1	1.938
7	1	34	2	3	0.6821	0.7952	1	0	1.657
7	1	35	1	3	0.6821	0.7952	0	1	1.433
7	1	36	1	3	0.6821	0.7952	0	1	1.952
7	1	37	1	3	0.6821	0.7952	0	0	1.052
7	1	38	1	3	0.6821	0.7952	1	0	2.094
7	1	39	1	3	0.6821	0.7952	0	1	0.872
7	1	40	1	3	0.6821	0.7952	0	1	0.855
7	1	41	1	3	0.6821	0.7952	0	1	0.785
7	1	42	1	3	0.6821	0.7952	1	1	0.786
7	1	43	1	3	0.6821	0.7952	1	0	1.248
7	1	44	1	3	0.6821	0.7952	1	0	1.214
7	1	45	2	3	0.6821	0.7952	1	1	2.763
7	1	46	2	3	0.6821	0.7952	1	0	2.155
7	1	47	2	3	0.6821	0.7952	0	0	1.200
7	1	48	1	3	0.6821	0.7952	1	0	1.064
7	1	49	1	3	0.6821	0.7952	1	0	0.924
7	1	50	2	3	0.6821	0.7952	0	1	1.686
7	1	51	1	3	0.6821	0.7952	0	1	1.277
7	1	52	1	3	0.6821	0.7952	0	1	0.718
7	1	53	1	3	0.6821	0.7952	1	1	0.974
7	1	54	1	3	0.6821	0.7952	0	0	2.342
7	1	55	1	3	0.6821	0.7952	1	0	0.849
7	1	56	1	3	0.6821	0.7952	0	0	0.870
7	1	57	1	3	0.6821	0.7952	0	0	0.947
7	1	58	1	3	0.6821	0.7952	0	1	0.846
7	1	59	1	3	0.6821	0.7952	1	0	0.763
7	1	60	1	3	0.6821	0.7952	0	1	0.851
7	1	61	2	2	0.6821	0.7952	0	0	2.348
7	1	62	1	2	0.6821	0.7952	0	0	1.385
7	1	63	1	2	0.6821	0.7952	0	0	1.320
7	1	64	2	2	0.6821	0.7952	1	1	1.670
7	1	65	2	2	0.6821	0.7952	1	1	1.481
7	1	66	1	2	0.6821	0.7952	1	1	1.261
7	1	67	1	2	0.6821	0.7952	1	0	1.236
7	1	68	1	2	0.6821	0.7952	1	0	2.077
7	1	69	2	2	0.6821	0.7952	0	0	1.980
7	1	70	2	2	0.6821	0.7952	1	1	2.292
7	1	71	1	2	0.6821	0.7952	0	0	1.957
7	1	72	2	2	0.6821	0.7952	1	1	0.965
7	1	73	2	2	0.6821	0.7952	0	0	2.447
7	1	74	2	2	0.6821	0.7952	0	1	2.611
7	1	75	1	2	0.6821	0.7952	1	1	1.088
7	1	76	1	2	0.6821	0.7952	0	1	1.300
7	1	77	1	2	0.6821	0.7952	0	0	1.115
7	1	78	2	2	0.6821	0.7952	1	0	1.385
7	1	79	1	2	0.6821	0.7952	0	0	0.723
7	1	80	2	2	0.6821	0.7952	0	1	1.793
7	1	81	1	2	0.6821	0.7952	1	0	1.265
7	1	82	2	2	0.6821	0.7952	0	1	1.328
7	1	83	1	2	0.6821	0.7952	1	0	1.137
7	1	84	2	2	0.6821	0.7952	1	1	1.700
7	1	85	2	2	0.6821	0.7952	1	1	0.920
7	1	86	1	2	0.6821	0.7952	0	1	1.145
7	1	87	2	2	0.6821	0.7952	0	1	1.492
7	1	88	1	2	0.6821	0.7952	0	0	1.169
7	1	89	2	2	0.6821	0.7952	1	0	1.031
7	1	90	2	2	0.6821	0.7952	0	0	1.135
7	1	91	1	2	0.6821	0.7952	1	1	1.246
7	1	92	1	2	0.6821	0.7952	1	1	0.764
7	1	93	1	2	0.6821	0.7952	1	1	1.317
7	1	94	1	2	0.6821	0.7952	1	0	1.030
7	1	95	2	2	0.6821	0.7952	0	0	1.663
7	1	96	2	2	0.6821	0.7952	0	0	1.639
7	1	97	2	2	0.6821	0.7952	0	1	1.606
7	1	98	1	2	0.6821	0.7952	0	1	0.962
7	1	99	1	2	0.6821	0.7952	0	1	0.935
7	1	100	1	2	0.6821	0.7952	0	1	0.918
7	1	101	2	2	0.6821	0.7952	0	1	1.291
7	1	102	2	2	0.6821	0.7952	1	0	0.891
7	1	103	2	2	0.6821	0.7952	1	1	1.082
