sub	sess	t	loc	co1	co2	or	resp	rt
7	1	1	1	1.0000	1.0000	0	1	2.018
7	1	2	2	1.0000	1.0000	1	1	1.237
7	1	3	2	1.0000	1.0000	1	1	1.697
7	1	4	1	1.0000	1.0000	1	0	1.132
7	1	5	1	1.0000	1.0000	1	1	1.144
7	1	6	1	1.0000	1.0000	0	1	0.770
7	1	7	2	1.0000	1.0000	0	1	1.507
7	1	8	2	1.0000	1.0000	1	1	1.883
7	1	9	1	1.0000	1.0000	0	1	1.048
7	1	10	2	1.0000	1.0000	1	1	0.940
7	1	11	2	1.0000	1.0000	1	1	1.319
7	1	12	1	1.0000	1.0000	0	1	0.928
7	1	13	1	1.0000	1.0000	1	1	1.578
7	1	14	1	1.0000	1.0000	0	1	0.870
7	1	15	1	1.0000	1.0000	1	1	1.261
7	1	16	1	1.0000	1.0000	0	1	0.758
7	1	17	1	1.0000	1.0000	1	1	1.082
7	1	18	1	1.0000	1.0000	1	1	1.229
7	1	19	2	1.0000	1.0000	0	1	1.023
7	1	20	2	1.0000	1.0000	0	0	1.641
7	1	21	2	1.0000	1.0000	1	0	0.984
7	1	22	1	1.0000	1.0000	1	1	0.825
7	1	23	1	1.0000	1.0000	1	1	1.448
7	1	24	2	1.0000	1.0000	0	0	1.041
7	1	25	2	1.0000	1.0000	0	1	1.374
7	1	26	2	1.0000	1.0000	1	1	1.876
7	1	27	1	1.0000	1.0000	0	1	2.367
7	1	28	1	1.0000	1.0000	0	0	2.873
7	1	29	2	0.2500	0.2500	0	0	2.873
7	1	30	1	0.2629	0.2629	0	0	2.873
7	1	31	1	0.2758	0.2758	0	0	2.873
7	1	32	2	0.2887	0.2887	1	0	2.873
7	1	33	1	0.3016	0.3016	0	0	2.873
7	1	34	1	0.3145	0.3145	1	0	2.873
7	1	35	2	0.3274	0.3274	0	0	2.873
7	1	36	1	0.3403	0.3403	1	0	2.873
7	1	37	1	0.3532	0.3532	0	0	2.873
7	1	38	1	0.3661	0.3661	1	0	2.873
7	1	39	1	0.3790	0.3790	1	0	2.873
7	1	40	2	0.3919	0.3919	0	0	2.873
7	1	41	2	0.4048	0.4048	1	0	2.873
7	1	42	1	0.4177	0.4177	1	0	2.873
7	1	43	1	0.4306	0.4306	1	0	2.873
7	1	44	1	0.4435	0.4435	1	0	2.873
7	1	45	2	0.4565	0.4565	0	0	2.873
7	1	46	2	0.4694	0.4694	0	0	2.873
7	1	47	1	0.4823	0.4823	0	0	2.873
7	1	48	1	0.4952	0.4952	0	0	2.873
7	1	49	2	0.5081	0.5081	1	0	2.873
7	1	50	2	0.5210	0.5210	1	0	2.873
7	1	51	2	0.5339	0.5339	0	0	2.873
7	1	52	2	0.5468	0.5468	1	0	2.873
7	1	53	1	0.5597	0.5597	0	0	2.873
7	1	54	1	0.5726	0.5726	1	0	2.873
7	1	55	1	0.5855	0.5855	1	0	2.873
7	1	56	1	0.5984	0.5984	0	0	2.873
7	1	57	2	0.6113	0.6113	0	0	2.873
7	1	58	2	0.6242	0.6242	0	0	2.873
7	1	59	2	0.6371	0.6371	0	0	2.873
7	1	60	2	0.6500	0.6500	1	0	2.873
7	1	61	1	0.2500	0.2500	0	0	2.873
7	1	62	1	0.2629	0.2629	1	0	2.873
7	1	63	2	0.2758	0.2758	0	0	2.873
7	1	64	2	0.2887	0.2887	1	0	2.873
7	1	65	1	0.3016	0.3016	1	0	2.873
7	1	66	2	0.3145	0.3145	0	0	2.873
7	1	67	1	0.3274	0.3274	0	0	2.873
7	1	68	2	0.3403	0.3403	0	0	2.873
7	1	69	2	0.3532	0.3532	0	0	2.873
7	1	70	1	0.3661	0.3661	1	0	2.873
7	1	71	1	0.3790	0.3790	0	0	2.873
7	1	72	2	0.3919	0.3919	0	0	2.873
7	1	73	2	0.4048	0.4048	0	0	2.873
7	1	74	2	0.4177	0.4177	1	0	2.873
7	1	75	1	0.4306	0.4306	1	0	2.873
7	1	76	2	0.4435	0.4435	1	0	2.873
7	1	77	1	0.4565	0.4565	0	0	2.873
7	1	78	1	0.4694	0.4694	0	0	2.873
7	1	79	1	0.4823	0.4823	1	0	2.873
7	1	80	1	0.4952	0.4952	0	0	2.873
7	1	81	1	0.5081	0.5081	1	0	2.873
7	1	82	2	0.5210	0.5210	0	0	2.873
7	1	83	2	0.5339	0.5339	1	0	2.873
7	1	84	1	0.5468	0.5468	0	0	2.873
7	1	85	2	0.5597	0.5597	1	0	2.873
7	1	86	2	0.5726	0.5726	1	0	2.873
7	1	87	1	0.5855	0.5855	0	0	2.873
7	1	88	1	0.5984	0.5984	1	0	2.873
7	1	89	2	0.6113	0.6113	1	0	2.873
7	1	90	2	0.6242	0.6242	1	0	2.873
7	1	91	2	0.6371	0.6371	1	0	2.873
7	1	92	2	0.6500	0.6500	1	0	2.873
7	1	93	2	0.5984	0.5970	1	0	2.873
7	1	94	1	0.5332	0.5970	1	0	2.873
7	1	95	1	0.5564	0.5970	1	0	2.873
7	1	96	1	0.5483	0.5970	0	0	2.873
7	1	97	2	0.5483	0.6199	1	0	2.873
7	1	98	2	0.5483	0.6123	0	0	2.873
7	1	99	2	0.5483	0.6052	1	0	2.873
7	1	100	2	0.5483	0.6267	0	0	2.873
7	1	101	2	0.5483	0.6196	1	0	2.873
7	1	102	1	0.5719	0.6196	0	0	2.873
7	1	103	2	0.5719	0.6130	1	0	2.873
7	1	104	1	0.5640	0.6130	1	0	2.873
7	1	105	1	0.5864	0.6130	0	0	2.873
7	1	106	2	0.5864	0.6068	1	0	2.873
7	1	107	2	0.5864	0.6008	0	0	2.873
7	1	108	1	0.6116	0.6008	0	0	2.873
7	1	109	1	0.6032	0.6008	0	0	2.873
7	1	110	1	0.5954	0.6008	1	0	2.873
7	1	111	2	0.5954	0.6178	0	0	2.873
7	1	112	2	0.5954	0.6362	0	0	2.873
7	1	113	1	0.5881	0.6362	0	0	2.873
7	1	114	2	0.5881	0.6560	1	0	2.873
7	1	115	2	0.5881	0.6770	1	0	2.873
7	1	116	1	0.6094	0.6770	0	0	2.873
7	1	117	2	0.6094	0.6991	1	0	2.873
7	1	118	2	0.6094	0.7219	0	0	2.873
7	1	119	1	0.6022	0.7219	1	0	2.873
7	1	120	2	0.6022	0.7448	1	0	2.873
7	1	121	1	0.5955	0.7448	1	0	2.873
7	1	122	1	0.6158	0.7448	1	0	2.873
7	1	123	1	0.6090	0.7448	1	0	2.873
7	1	124	1	0.6026	0.7448	0	0	2.873
7	1	125	1	0.5967	0.7448	1	0	2.873
7	1	126	1	0.5910	0.7448	1	0	2.873
7	1	127	1	0.6072	0.7448	0	0	2.873
7	1	128	2	0.6072	0.7672	0	0	2.873
7	1	129	1	0.6016	0.7672	0	0	2.873
