sub	sess	t	loc	cue	co1	co2	or	resp	rt
2	1	1	2	3	0.6968	0.4046	1	1	2.534
2	1	2	1	3	0.6968	0.4046	1	1	1.226
2	1	3	1	3	0.6968	0.4046	0	1	0.877
2	1	4	1	3	0.6968	0.4046	0	1	0.825
2	1	5	1	3	0.6968	0.4046	1	1	0.798
2	1	6	2	3	0.6968	0.4046	0	1	0.702
2	1	7	2	3	0.6968	0.4046	1	1	1.150
2	1	8	1	3	0.6968	0.4046	1	1	1.150
2	1	9	1	3	0.6968	0.4046	0	1	0.660
2	1	10	1	3	0.6968	0.4046	1	1	0.884
2	1	11	1	3	0.6968	0.4046	0	1	0.952
2	1	12	1	3	0.6968	0.4046	1	0	1.604
2	1	13	1	3	0.6968	0.4046	0	0	0.932
2	1	14	1	3	0.6968	0.4046	1	1	0.826
2	1	15	1	3	0.6968	0.4046	0	1	0.727
2	1	16	2	3	0.6968	0.4046	0	1	0.755
2	1	17	1	3	0.6968	0.4046	1	0	0.784
2	1	18	1	3	0.6968	0.4046	1	0	0.812
2	1	19	1	3	0.6968	0.4046	0	1	1.167
2	1	20	1	3	0.6968	0.4046	0	1	0.671
2	1	21	1	3	0.6968	0.4046	0	1	0.673
2	1	22	1	3	0.6968	0.4046	1	0	0.722
2	1	23	1	3	0.6968	0.4046	0	1	0.652
2	1	24	1	3	0.6968	0.4046	0	1	0.677
2	1	25	1	3	0.6968	0.4046	1	0	0.603
2	1	26	1	3	0.6968	0.4046	0	1	0.698
2	1	27	1	3	0.6968	0.4046	0	1	0.684
2	1	28	1	3	0.6968	0.4046	0	1	0.693
2	1	29	1	3	0.6968	0.4046	1	1	0.547
2	1	30	2	3	0.6968	0.4046	0	1	0.824
2	1	31	2	3	0.6968	0.4046	1	0	0.828
2	1	32	1	3	0.6968	0.4046	1	1	0.602
2	1	33	1	3	0.6968	0.4046	1	0	0.670
2	1	34	2	3	0.6968	0.4046	1	1	0.612
2	1	35	1	3	0.6968	0.4046	0	1	0.571
2	1	36	1	3	0.6968	0.4046	1	0	1.418
2	1	37	2	3	0.6968	0.4046	0	1	0.605
2	1	38	1	3	0.6968	0.4046	0	1	0.736
2	1	39	1	3	0.6968	0.4046	1	0	0.817
2	1	40	1	3	0.6968	0.4046	1	1	1.040
2	1	41	2	3	0.6968	0.4046	0	1	0.783
2	1	42	1	3	0.6968	0.4046	1	1	1.196
2	1	43	1	3	0.6968	0.4046	1	1	0.880
2	1	44	1	3	0.6968	0.4046	0	1	0.655
2	1	45	1	3	0.6968	0.4046	0	1	0.544
2	1	46	1	3	0.6968	0.4046	1	0	0.656
2	1	47	1	3	0.6968	0.4046	1	1	0.581
2	1	48	2	3	0.6968	0.4046	0	1	0.576
2	1	49	2	3	0.6968	0.4046	1	0	0.552
2	1	50	1	3	0.6968	0.4046	1	1	0.853
2	1	51	1	3	0.6968	0.4046	0	0	0.795
2	1	52	1	3	0.6968	0.4046	0	1	0.576
2	1	53	1	3	0.6968	0.4046	0	0	0.691
2	1	54	1	3	0.6968	0.4046	1	0	0.628
2	1	55	1	3	0.6968	0.4046	1	1	1.226
2	1	56	1	3	0.6968	0.4046	0	1	0.554
2	1	57	1	3	0.6968	0.4046	0	1	0.692
2	1	58	1	3	0.6968	0.4046	1	1	0.754
2	1	59	1	3	0.6968	0.4046	0	0	0.627
2	1	60	2	3	0.6968	0.4046	1	1	0.655
2	1	61	2	1	0.6968	0.4046	1	1	1.176
2	1	62	1	1	0.6968	0.4046	1	1	0.840
2	1	63	1	1	0.6968	0.4046	0	1	0.759
2	1	64	2	1	0.6968	0.4046	0	1	0.728
2	1	65	1	1	0.6968	0.4046	1	0	0.665
2	1	66	2	1	0.6968	0.4046	0	1	0.800
2	1	67	2	1	0.6968	0.4046	1	0	0.942
2	1	68	1	1	0.6968	0.4046	0	1	0.820
2	1	69	2	1	0.6968	0.4046	1	1	0.729
2	1	70	1	1	0.6968	0.4046	1	1	0.696
2	1	71	1	1	0.6968	0.4046	1	1	0.787
2	1	72	2	1	0.6968	0.4046	1	1	0.635
