sub	sess	t	loc	co1	co2	or	resp	rt
2	1	1	2	1.0000	1.0000	1	0	1.282
2	1	2	1	1.0000	1.0000	1	1	1.063
2	1	3	1	1.0000	1.0000	0	1	1.691
2	1	4	2	1.0000	1.0000	1	1	0.862
2	1	5	2	1.0000	1.0000	0	0	1.304
2	1	6	1	1.0000	1.0000	0	1	1.587
2	1	7	1	1.0000	1.0000	1	0	1.288
2	1	8	2	1.0000	1.0000	0	1	0.838
2	1	9	2	1.0000	1.0000	1	1	1.016
2	1	10	2	1.0000	1.0000	1	1	0.736
2	1	11	1	1.0000	1.0000	0	1	0.761
2	1	12	2	1.0000	1.0000	0	1	0.739
2	1	13	2	1.0000	1.0000	1	1	0.621
2	1	14	1	1.0000	1.0000	1	1	0.820
2	1	15	2	1.0000	1.0000	0	1	0.539
2	1	16	1	1.0000	1.0000	1	1	0.649
2	1	17	1	1.0000	1.0000	0	1	0.695
2	1	18	2	1.0000	1.0000	1	1	0.712
2	1	19	1	1.0000	1.0000	0	1	0.636
2	1	20	2	1.0000	1.0000	0	1	0.806
2	1	21	1	1.0000	1.0000	1	0	1.149
2	1	22	1	1.0000	1.0000	1	1	1.715
2	1	23	2	1.0000	1.0000	0	0	0.918
2	1	24	2	1.0000	1.0000	1	0	1.471
2	1	25	2	1.0000	1.0000	1	0	1.094
2	1	26	2	1.0000	1.0000	0	1	1.214
2	1	27	1	1.0000	1.0000	0	0	1.168
2	1	28	1	1.0000	1.0000	0	1	1.040
2	1	29	1	0.2500	0.2500	1	1	1.040
2	1	30	1	0.2629	0.2629	1	1	1.040
2	1	31	2	0.2758	0.2758	0	1	1.040
2	1	32	1	0.2887	0.2887	0	1	1.040
2	1	33	2	0.3016	0.3016	0	1	1.040
2	1	34	2	0.3145	0.3145	0	1	1.040
2	1	35	2	0.3274	0.3274	1	1	1.040
2	1	36	2	0.3403	0.3403	0	1	1.040
2	1	37	2	0.3532	0.3532	1	1	1.040
2	1	38	1	0.3661	0.3661	1	1	1.040
2	1	39	1	0.3790	0.3790	0	1	1.040
2	1	40	2	0.3919	0.3919	0	1	1.040
2	1	41	1	0.4048	0.4048	0	1	1.040
