sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	114	2	1	0.1000	0.1000	1	1	0.630
1	1	115	1	1	0.1000	0.1000	1	1	0.479
1	1	116	2	1	0.1000	0.1000	1	1	0.474
1	1	117	2	1	0.1000	0.1000	0	0	0.540
1	1	118	2	1	0.1000	0.1000	0	1	0.619
1	1	119	2	1	0.1000	0.1000	1	1	0.564
1	1	120	2	1	0.1000	0.1000	0	0	0.650
1	1	121	2	1	0.1000	0.1000	1	1	0.517
1	1	122	2	1	0.1000	0.1000	0	1	0.650
1	1	123	2	1	0.1000	0.1000	0	1	0.482
1	1	124	2	1	0.1000	0.1000	1	1	0.537
1	1	125	1	1	0.1000	0.1000	1	1	0.946
1	1	126	2	1	0.1000	0.1000	1	1	0.549
1	1	127	2	1	0.1000	0.1000	1	1	0.483
1	1	128	1	1	0.1000	0.1000	0	1	0.761
1	1	129	2	1	0.1000	0.1000	1	1	0.512
1	1	130	2	1	0.1000	0.1000	0	0	0.680
1	1	131	2	1	0.1000	0.1000	1	1	0.551
1	1	132	2	1	0.1000	0.1000	1	1	0.484
1	1	133	1	1	0.1000	0.1000	0	1	0.926
1	1	134	1	1	0.1000	0.1000	0	1	0.644
1	1	135	2	1	0.1000	0.1000	0	0	0.665
1	1	136	2	1	0.1000	0.1000	0	1	0.653
1	1	137	2	1	0.1000	0.1000	0	1	0.770
1	1	138	2	1	0.1000	0.1000	0	0	0.705
1	1	139	2	1	0.1000	0.1000	1	1	0.548
1	1	140	2	1	0.1000	0.1000	1	1	0.527
1	1	141	2	1	0.1000	0.1000	1	1	0.515
1	1	142	2	1	0.1000	0.1000	0	0	0.499
1	1	143	2	1	0.1000	0.1000	1	1	0.523
1	1	144	1	1	0.1000	0.1000	1	0	0.874
1	1	145	2	1	0.1000	0.1000	1	1	0.576
1	1	146	1	1	0.1000	0.1000	1	1	0.641
1	1	147	2	1	0.1000	0.1000	0	1	0.535
1	1	148	2	1	0.1000	0.1000	0	1	0.501
1	1	149	2	1	0.1000	0.1000	1	1	0.569
1	1	150	2	1	0.1000	0.1000	0	1	0.686
1	1	151	2	1	0.1000	0.1000	0	0	0.638
1	1	152	2	1	0.1000	0.1000	1	1	0.583
1	1	153	2	1	0.1000	0.1000	1	1	0.661
1	1	154	1	1	0.1000	0.1000	0	1	0.669
1	1	155	2	1	0.1000	0.1000	1	1	0.581
1	1	156	1	1	0.1000	0.1000	0	0	0.730
1	1	157	2	1	0.1000	0.1000	0	0	0.904
1	1	158	1	1	0.1000	0.1000	1	1	0.731
1	1	159	2	1	0.1000	0.1000	1	0	1.125
1	1	160	2	1	0.1000	0.1000	0	0	0.673
1	1	161	2	1	0.1000	0.1000	1	1	0.881
1	1	162	2	1	0.1000	0.1000	0	1	0.730
1	1	163	1	1	0.1000	0.1000	1	1	0.722
1	1	164	2	1	0.1000	0.1000	1	1	0.535
1	1	165	2	1	0.1000	0.1000	1	1	0.562
1	1	166	2	1	0.1000	0.1000	0	1	0.582
1	1	167	2	1	0.1000	0.1000	0	1	0.773
1	1	168	2	1	0.1000	0.1000	0	0	0.711
1	1	169	2	2	0.1000	0.1000	0	1	0.749
1	1	170	2	1	0.1000	0.1000	1	1	0.534
1	1	171	1	3	0.1000	0.1000	0	1	0.743
1	1	172	1	1	0.1000	0.1000	0	1	0.718
1	1	173	1	3	0.1000	0.1000	0	1	0.658
1	1	174	1	3	0.1000	0.1000	1	0	0.629
1	1	175	1	3	0.1000	0.1000	1	1	0.636
1	1	176	1	3	0.1000	0.1000	0	0	0.903
1	1	177	1	2	0.1000	0.1000	1	1	0.691
1	1	178	2	1	0.1000	0.1000	1	1	0.631
1	1	179	1	3	0.1000	0.1000	0	1	0.484
1	1	180	2	1	0.1000	0.1000	0	0	0.538
1	1	181	2	2	0.1000	0.1000	0	1	0.869
1	1	182	1	1	0.1000	0.1000	0	1	0.566
1	1	183	2	2	0.1000	0.1000	1	1	0.628
1	1	184	1	3	0.1000	0.1000	0	1	0.618
1	1	185	1	2	0.1000	0.1000	0	1	0.562
1	1	186	2	1	0.1000	0.1000	0	1	0.598
1	1	187	2	2	0.1000	0.1000	1	1	0.560
1	1	188	1	3	0.1000	0.1000	1	0	0.536
