sub	sess	t	loc	co1	co2	or	resp	rt
1	1	1	1	1.0000	1.0000	1	1	1.075
1	1	2	2	1.0000	1.0000	0	1	0.736
1	1	3	1	1.0000	1.0000	1	1	0.688
1	1	4	2	1.0000	1.0000	0	1	0.878
1	1	5	1	1.0000	1.0000	1	1	0.447
1	1	6	1	1.0000	1.0000	1	1	0.621
1	1	7	2	1.0000	1.0000	1	1	0.576
1	1	8	2	1.0000	1.0000	0	1	0.693
1	1	9	1	1.0000	1.0000	0	0	0.641
1	1	10	1	1.0000	1.0000	0	1	0.608
1	1	11	2	1.0000	1.0000	1	1	0.541
1	1	12	1	1.0000	1.0000	1	0	0.639
1	1	13	1	1.0000	1.0000	0	1	0.783
1	1	14	2	1.0000	1.0000	1	1	0.647
1	1	15	1	1.0000	1.0000	0	1	0.655
1	1	16	1	1.0000	1.0000	1	1	0.587
1	1	17	2	1.0000	1.0000	1	1	0.484
1	1	18	1	1.0000	1.0000	0	1	0.510
1	1	19	2	1.0000	1.0000	0	1	0.689
1	1	20	2	1.0000	1.0000	0	1	0.624
1	1	21	1	1.0000	1.0000	1	1	0.902
1	1	22	1	1.0000	1.0000	0	1	0.737
1	1	23	1	1.0000	1.0000	1	0	0.663
1	1	24	2	1.0000	1.0000	0	0	0.977
1	1	25	1	1.0000	1.0000	0	1	0.778
1	1	26	2	1.0000	1.0000	0	0	0.714
1	1	27	2	1.0000	1.0000	1	0	0.551
1	1	28	2	1.0000	1.0000	1	1	0.933
1	1	29	2	0.2500	0.2500	0	1	0.933
1	1	30	2	0.2629	0.2629	0	1	0.933
1	1	31	2	0.2758	0.2758	1	1	0.933
1	1	32	1	0.2887	0.2887	1	1	0.933
1	1	33	2	0.3016	0.3016	0	1	0.933
1	1	34	1	0.3145	0.3145	1	1	0.933
1	1	35	1	0.3274	0.3274	1	1	0.933
1	1	36	1	0.3403	0.3403	0	1	0.933
1	1	37	2	0.3532	0.3532	0	1	0.933
1	1	38	2	0.3661	0.3661	0	1	0.933
1	1	39	2	0.3790	0.3790	1	1	0.933
1	1	40	2	0.3919	0.3919	1	1	0.933
1	1	41	1	0.4048	0.4048	0	1	0.933
1	1	42	2	0.4177	0.4177	0	1	0.933
1	1	43	2	0.4306	0.4306	1	1	0.933
1	1	44	2	0.4435	0.4435	1	1	0.933
1	1	45	2	0.4565	0.4565	0	1	0.933
1	1	46	2	0.4694	0.4694	0	1	0.933
1	1	47	2	0.4823	0.4823	0	1	0.933
1	1	48	1	0.4952	0.4952	0	1	0.933
1	1	49	1	0.5081	0.5081	1	1	0.933
1	1	50	1	0.5210	0.5210	0	1	0.933
1	1	51	2	0.5339	0.5339	0	1	0.933
1	1	52	2	0.5468	0.5468	1	1	0.933
1	1	53	1	0.5597	0.5597	1	1	0.933
1	1	54	2	0.5726	0.5726	0	1	0.933
1	1	55	1	0.5855	0.5855	0	1	0.933
1	1	56	1	0.5984	0.5984	0	1	0.933
1	1	57	2	0.6113	0.6113	0	1	0.933
1	1	58	2	0.6242	0.6242	1	1	0.933
1	1	59	1	0.6371	0.6371	0	1	0.933
1	1	60	2	0.6500	0.6500	1	1	0.933
1	1	61	2	0.2500	0.2500	0	1	0.933
1	1	62	1	0.2629	0.2629	1	1	0.933
1	1	63	2	0.2758	0.2758	1	1	0.933
1	1	64	2	0.2887	0.2887	1	1	0.933
1	1	65	2	0.3016	0.3016	1	1	0.933
1	1	66	1	0.3145	0.3145	0	1	0.933
1	1	67	1	0.3274	0.3274	1	1	0.933
1	1	68	2	0.3403	0.3403	1	1	0.933
1	1	69	1	0.3532	0.3532	0	1	0.933
1	1	70	1	0.3661	0.3661	1	1	0.933
1	1	71	1	0.3790	0.3790	0	1	0.933
1	1	72	2	0.3919	0.3919	0	1	0.933
1	1	73	1	0.4048	0.4048	0	1	0.933
1	1	74	1	0.4177	0.4177	1	1	0.933
1	1	75	2	0.4306	0.4306	0	1	0.933
1	1	76	1	0.4435	0.4435	1	1	0.933
