sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
1	1	1	0	1	1	0.1000	0.1000	0	1	1.165
1	1	2	0	1	2	0.1000	0.1000	0	1	0.904
1	1	3	0	2	2	0.1000	0.1000	0	1	0.599
1	1	4	0	2	1	0.1000	0.1000	0	1	0.547
1	1	5	0	1	3	0.1000	0.1000	1	1	0.765
1	1	6	0	1	2	0.1000	0.1000	0	1	0.530
1	1	7	0	1	3	0.1000	0.1000	0	1	0.807
1	1	8	0	1	3	0.1000	0.1000	0	1	0.800
1	1	9	0	1	3	0.1000	0.1000	1	0	0.803
1	1	10	0	1	1	0.1000	0.1000	0	1	0.538
1	1	11	0	2	1	0.1000	0.1000	1	1	0.526
1	1	12	0	1	3	0.1000	0.1000	1	1	0.767
1	1	13	0	1	1	0.1000	0.1000	1	0	0.708
1	1	14	0	1	2	0.1000	0.1000	1	1	0.666
1	1	15	0	1	1	0.1000	0.1000	1	1	0.567
1	1	16	0	1	3	0.1000	0.1000	0	1	0.459
1	1	17	0	2	1	0.1000	0.1000	0	1	0.477
1	1	18	0	2	2	0.1000	0.1000	0	1	0.490
1	1	19	0	2	3	0.1000	0.1000	0	1	0.439
1	1	20	0	2	1	0.1000	0.1000	1	1	0.463
1	1	21	0	2	2	0.1000	0.1000	1	1	0.569
1	1	22	0	1	2	0.1000	0.1000	1	0	0.477
1	1	23	0	2	1	0.1000	0.1000	1	1	0.599
1	1	24	0	2	1	0.1000	0.1000	0	1	0.501
1	1	25	0	2	1	0.1000	0.1000	1	1	0.411
1	1	26	0	2	2	0.1000	0.1000	1	1	0.439
1	1	27	0	2	3	0.1000	0.1000	1	1	0.433
1	1	28	0	2	1	0.1000	0.1000	0	1	0.485
1	1	29	0	2	3	0.1000	0.1000	0	1	0.603
1	1	30	0	2	3	0.1000	0.1000	1	1	0.441
1	1	31	0	1	3	0.1000	0.1000	1	1	0.540
1	1	32	0	1	3	0.1000	0.1000	0	1	0.531
1	1	33	1	2	1	0.1000	0.1000	1	1	0.450
1	1	34	1	1	3	0.1000	0.1000	0	1	0.440
1	1	35	1	1	3	0.1000	0.1000	0	1	0.502
1	1	36	1	1	3	0.1000	0.1000	0	1	0.543
1	1	37	1	1	3	0.1000	0.1000	1	1	0.451
1	1	38	1	2	3	0.1000	0.1000	1	0	0.470
1	1	39	1	1	1	0.1000	0.1000	0	1	0.577
1	1	40	1	2	3	0.1000	0.1000	0	1	0.553
1	1	41	1	1	1	0.1000	0.1000	1	1	0.449
1	1	42	1	2	1	0.1000	0.1000	0	1	0.502
1	1	43	1	1	3	0.1000	0.1000	1	1	0.464
1	1	44	1	2	1	0.1000	0.1000	1	1	0.474
1	1	45	1	1	3	0.1000	0.1000	1	0	0.438
1	1	46	1	1	2	0.1000	0.1000	1	1	0.581
1	1	47	1	2	3	0.1000	0.1000	1	1	0.583
1	1	48	1	2	1	0.1000	0.1000	1	1	0.495
1	1	49	1	2	2	0.1000	0.1000	0	1	0.549
1	1	50	1	2	1	0.1000	0.1000	0	1	0.564
1	1	51	1	1	3	0.1000	0.1000	0	1	0.477
1	1	52	1	2	2	0.1000	0.1000	1	1	0.406
1	1	53	1	1	1	0.1000	0.1000	0	1	0.560
1	1	54	1	2	2	0.1000	0.1000	1	1	0.461
1	1	55	1	2	2	0.1000	0.1000	0	1	0.597
1	1	56	1	2	1	0.1000	0.1000	0	1	0.516
1	1	57	1	2	1	0.1000	0.1000	0	1	0.552
1	1	58	1	2	1	0.1000	0.1000	1	1	0.525
1	1	59	1	1	1	0.1000	0.1000	1	1	0.642
1	1	60	1	1	2	0.1000	0.1000	0	1	0.560
1	1	61	1	1	2	0.1000	0.1000	1	1	0.640
1	1	62	1	1	2	0.1000	0.1000	0	1	0.576
1	1	63	1	2	3	0.1000	0.1000	0	1	0.580
1	1	64	1	1	3	0.1000	0.1000	1	0	0.533
