sub	sess	t	loc	cue	co1	co2	or	resp	rt
2	1	1	2	3	0.1395	0.0500	0	0	2.689
2	1	2	1	2	0.1395	0.0500	1	0	2.676
2	1	3	2	2	0.1395	0.0500	0	1	2.212
2	1	4	1	2	0.1395	0.0500	1	1	1.574
2	1	5	1	1	0.1395	0.0500	1	1	0.741
2	1	6	1	3	0.1395	0.0500	1	1	2.297
2	1	7	2	3	0.1395	0.0500	1	0	3.026
2	1	8	1	1	0.1395	0.0500	0	0	1.405
2	1	9	1	1	0.1395	0.0500	1	1	0.758
2	1	10	1	1	0.1395	0.0500	0	1	0.655
2	1	11	2	2	0.1395	0.0500	0	0	1.074
2	1	12	2	3	0.1395	0.0500	1	1	2.344
2	1	13	1	3	0.1395	0.0500	0	1	0.754
2	1	14	2	2	0.1395	0.0500	0	1	0.955
2	1	15	2	3	0.1395	0.0500	1	1	1.159
2	1	16	2	2	0.1395	0.0500	0	1	1.852
2	1	17	2	3	0.1395	0.0500	0	1	1.434
2	1	18	1	3	0.1395	0.0500	0	0	0.842
2	1	19	2	2	0.1395	0.0500	1	1	0.852
2	1	20	2	3	0.1395	0.0500	0	1	0.807
2	1	21	2	2	0.1395	0.0500	1	1	1.110
2	1	22	2	2	0.1395	0.0500	1	1	0.782
2	1	23	2	2	0.1395	0.0500	1	1	0.715
2	1	24	2	1	0.1395	0.0500	0	1	0.910
2	1	25	1	1	0.1395	0.0500	0	1	0.867
2	1	26	2	3	0.1395	0.0500	0	1	0.993
2	1	27	2	2	0.1395	0.0500	0	1	0.786
2	1	28	2	1	0.1395	0.0500	1	1	0.750
2	1	29	2	3	0.1395	0.0500	1	1	1.192
2	1	30	1	1	0.1395	0.0500	0	1	1.077
2	1	31	1	3	0.1395	0.0500	1	1	0.694
2	1	32	1	1	0.1395	0.0500	1	1	0.799
2	1	33	1	2	0.1395	0.0500	0	1	0.822
2	1	34	1	2	0.1395	0.0500	0	1	0.595
2	1	35	2	1	0.1395	0.0500	0	1	1.446
2	1	36	2	1	0.1395	0.0500	1	1	1.542
2	1	37	2	2	0.1395	0.0500	0	1	1.854
2	1	38	1	1	0.1395	0.0500	0	1	0.919
2	1	39	1	1	0.1395	0.0500	0	1	0.691
2	1	40	1	1	0.1395	0.0500	1	1	0.711
2	1	41	1	1	0.1395	0.0500	1	1	0.638
2	1	42	2	2	0.1395	0.0500	1	0	0.895
2	1	43	1	1	0.1395	0.0500	1	1	0.591
2	1	44	1	1	0.1395	0.0500	0	1	0.621
2	1	45	2	2	0.1395	0.0500	0	1	1.702
2	1	46	1	3	0.1395	0.0500	0	1	0.867
2	1	47	2	2	0.1395	0.0500	1	1	0.817
2	1	48	1	1	0.1395	0.0500	1	1	0.708
2	1	49	1	1	0.1395	0.0500	1	1	0.626
2	1	50	1	3	0.1395	0.0500	0	1	0.677
2	1	51	1	3	0.1395	0.0500	1	1	0.573
2	1	52	1	1	0.1395	0.0500	0	1	0.490
2	1	53	1	3	0.1395	0.0500	1	1	0.639
2	1	54	2	2	0.1395	0.0500	0	1	0.871
2	1	55	2	2	0.1395	0.0500	1	1	1.195
2	1	56	2	2	0.1395	0.0500	1	1	1.069
2	1	57	2	3	0.1395	0.0500	1	1	0.961
2	1	58	1	1	0.1395	0.0500	1	1	0.746
2	1	59	2	2	0.1395	0.0500	1	1	0.704
2	1	60	1	1	0.1395	0.0500	1	1	0.637
2	1	61	1	3	0.1395	0.0500	1	1	0.871
2	1	62	1	3	0.1395	0.0500	0	1	0.490
2	1	63	1	1	0.1395	0.0500	0	1	0.543
2	1	64	1	2	0.1395	0.0500	1	1	0.498
2	1	65	1	3	0.1395	0.0500	0	1	0.474
2	1	66	1	1	0.1395	0.0500	0	1	0.475
2	1	67	2	1	0.1395	0.0500	0	1	0.873
2	1	68	1	2	0.1395	0.0500	0	1	0.472
2	1	69	2	2	0.1395	0.0500	1	1	0.697
2	1	70	1	1	0.1395	0.0500	0	1	0.495
2	1	71	1	1	0.1395	0.0500	1	1	0.516
2	1	72	1	3	0.1395	0.0500	1	1	0.580
2	1	73	2	1	0.1395	0.0500	1	1	1.035
2	1	74	1	1	0.1395	0.0500	0	1	0.652
2	1	75	2	2	0.1395	0.0500	1	1	0.963
2	1	76	2	2	0.1395	0.0500	0	0	1.014
2	1	77	2	2	0.1395	0.0500	1	0	0.989
2	1	78	2	2	0.1395	0.0500	0	1	0.949
2	1	79	1	1	0.1395	0.0500	0	1	0.805
2	1	80	1	1	0.1395	0.0500	0	1	0.744
2	1	81	2	3	0.1395	0.0500	1	0	0.736
2	1	82	1	1	0.1395	0.0500	0	1	0.608
2	1	83	2	2	0.1395	0.0500	1	1	0.927
2	1	84	2	3	0.1395	0.0500	1	1	0.667
2	1	85	1	1	0.1395	0.0500	1	1	0.881
2	1	86	1	2	0.1395	0.0500	0	1	0.691
