sub	sess	t	loc	cue	co1	co2	or	resp	rt
3	1	1	1	1	0.8903	0.7621	1	0	2.795
3	1	2	2	2	0.8903	0.7621	0	0	1.241
3	1	3	1	1	0.8903	0.7621	0	1	1.935
3	1	4	2	2	0.8903	0.7621	1	1	1.589
3	1	5	1	2	0.8903	0.7621	1	1	2.054
3	1	6	2	2	0.8903	0.7621	0	1	1.102
3	1	7	2	2	0.8903	0.7621	1	1	0.976
3	1	8	1	1	0.8903	0.7621	0	1	1.537
3	1	9	2	1	0.8903	0.7621	0	0	1.134
3	1	10	1	1	0.8903	0.7621	1	0	0.930
3	1	11	1	3	0.8903	0.7621	0	1	1.053
3	1	12	2	3	0.8903	0.7621	1	1	1.257
3	1	13	1	3	0.8903	0.7621	1	0	1.208
3	1	14	1	2	0.8903	0.7621	1	0	0.914
3	1	15	2	2	0.8903	0.7621	1	0	1.272
3	1	16	1	1	0.8903	0.7621	1	0	1.750
3	1	17	1	2	0.8903	0.7621	0	0	0.890
3	1	18	1	2	0.8903	0.7621	0	1	0.663
3	1	19	2	2	0.8903	0.7621	1	0	0.964
3	1	20	2	2	0.8903	0.7621	0	1	3.168
3	1	21	2	1	0.8903	0.7621	0	1	2.165
3	1	22	2	3	0.8903	0.7621	0	0	1.428
3	1	23	1	1	0.8903	0.7621	0	1	0.969
3	1	24	2	3	0.8903	0.7621	1	0	1.302
3	1	25	2	3	0.8903	0.7621	0	0	0.869
3	1	26	2	2	0.8903	0.7621	1	0	0.877
3	1	27	2	3	0.8903	0.7621	1	0	1.160
3	1	28	2	2	0.8903	0.7621	1	1	0.700
3	1	29	1	1	0.8903	0.7621	0	1	1.462
3	1	30	2	2	0.8903	0.7621	0	0	0.966
3	1	31	1	1	0.8903	0.7621	1	0	1.179
3	1	32	1	3	0.8903	0.7621	0	1	2.046
3	1	33	1	1	0.8903	0.7621	0	1	0.834
3	1	34	1	1	0.8903	0.7621	1	0	0.914
3	1	35	1	3	0.8903	0.7621	1	1	0.947
3	1	36	1	3	0.8903	0.7621	0	0	0.773
3	1	37	2	3	0.8903	0.7621	0	1	0.685
3	1	38	1	1	0.8903	0.7621	0	1	0.490
3	1	39	2	3	0.8903	0.7621	1	1	0.969
3	1	40	2	2	0.8903	0.7621	0	1	0.884
3	1	41	1	1	0.8903	0.7621	1	0	1.354
3	1	42	2	1	0.8903	0.7621	1	1	1.225
3	1	43	1	1	0.8903	0.7621	1	1	1.128
3	1	44	2	2	0.8903	0.7621	1	0	1.243
3	1	45	2	2	0.8903	0.7621	1	0	0.819
3	1	46	1	3	0.8903	0.7621	1	1	0.771
3	1	47	2	1	0.8903	0.7621	1	1	1.171
3	1	48	2	2	0.8903	0.7621	0	1	1.232
3	1	49	1	1	0.8903	0.7621	0	1	1.723
3	1	50	1	1	0.8903	0.7621	1	0	1.239
3	1	51	1	3	0.8903	0.7621	0	0	0.865
3	1	52	1	3	0.8903	0.7621	1	0	0.561
3	1	53	2	2	0.8903	0.7621	0	0	1.158
3	1	54	1	1	0.8903	0.7621	0	1	1.068
3	1	55	2	3	0.8903	0.7621	0	1	0.991
3	1	56	2	2	0.8903	0.7621	0	0	1.820
3	1	57	2	2	0.8903	0.7621	0	1	1.165
3	1	58	1	3	0.8903	0.7621	0	1	1.144
3	1	59	2	2	0.8903	0.7621	1	1	1.069
3	1	60	2	3	0.8903	0.7621	0	1	0.972
3	1	61	1	1	0.8903	0.7621	1	0	1.067
3	1	62	1	3	0.8903	0.7621	1	1	0.648
3	1	63	1	1	0.8903	0.7621	0	1	0.640
3	1	64	1	1	0.8903	0.7621	1	1	0.966
3	1	65	1	1	0.8903	0.7621	0	1	0.662
3	1	66	1	2	0.8903	0.7621	0	0	1.735
3	1	67	2	1	0.8903	0.7621	1	1	2.566
3	1	68	1	1	0.8903	0.7621	1	0	0.765
3	1	69	2	3	0.8903	0.7621	0	0	1.440
3	1	70	2	2	0.8903	0.7621	1	0	0.686
3	1	71	1	3	0.8903	0.7621	1	0	1.218
3	1	72	2	3	0.8903	0.7621	1	0	0.905
3	1	73	2	1	0.8903	0.7621	0	0	0.743
3	1	74	1	2	0.8903	0.7621	1	1	0.852
3	1	75	2	2	0.8903	0.7621	1	0	1.188
3	1	76	1	1	0.8903	0.7621	1	1	1.244
3	1	77	1	2	0.8903	0.7621	0	1	1.265
3	1	78	1	3	0.8903	0.7621	1	1	1.784
3	1	79	1	3	0.8903	0.7621	1	1	0.736
3	1	80	1	1	0.8903	0.7621	1	1	0.915
3	1	81	2	1	0.8903	0.7621	0	0	1.749
3	1	82	2	2	0.8903	0.7621	1	0	0.883
3	1	83	2	2	0.8903	0.7621	1	0	0.823
3	1	84	1	1	0.8903	0.7621	1	1	1.395
3	1	85	2	3	0.8903	0.7621	0	1	0.971
3	1	86	2	2	0.8903	0.7621	0	1	0.693
3	1	87	2	2	0.8903	0.7621	0	1	0.669
3	1	88	1	1	0.8903	0.7621	0	0	2.049
3	1	89	2	2	0.8903	0.7621	1	0	0.873
3	1	90	1	1	0.8903	0.7621	0	1	0.948
3	1	91	2	2	0.8903	0.7621	0	1	0.680
3	1	92	2	2	0.8903	0.7621	0	1	0.615
3	1	93	1	1	0.8903	0.7621	0	0	1.790
3	1	94	2	3	0.8903	0.7621	1	1	1.160
3	1	95	1	1	0.8903	0.7621	1	0	1.130
3	1	96	2	3	0.8903	0.7621	0	0	1.250
3	1	97	2	2	0.8903	0.7621	0	0	2.935
3	1	98	1	1	0.8903	0.7621	0	1	1.080
3	1	99	2	1	0.8903	0.7621	1	0	0.715
3	1	100	2	2	0.8903	0.7621	0	0	0.855
3	1	101	1	3	0.8903	0.7621	0	1	0.760
3	1	102	1	3	0.8903	0.7621	0	1	0.659
3	1	103	2	2	0.8903	0.7621	1	1	0.939
3	1	104	2	3	0.8903	0.7621	1	1	0.662
3	1	105	1	1	0.8903	0.7621	0	1	0.488
3	1	106	1	1	0.8903	0.7621	0	1	0.705
3	1	107	2	2	0.8903	0.7621	0	0	0.780
3	1	108	1	2	0.8903	0.7621	1	0	0.719
3	1	109	1	3	0.8903	0.7621	0	1	1.459
3	1	110	2	3	0.8903	0.7621	1	1	0.813
3	1	111	2	2	0.8903	0.7621	1	1	0.786
3	1	112	1	1	0.8903	0.7621	1	0	0.823
