sub	sess	t	loc	co1	co2	or	resp	rt
3	1	123	2	0.8823	0.6257	0	1	1.552
3	1	124	2	0.8823	0.6190	0	1	1.552
3	1	125	1	0.8816	0.6190	0	1	1.552
3	1	126	1	0.8837	0.6190	1	1	1.552
3	1	127	2	0.8837	0.6127	0	1	1.552
3	1	128	1	0.8854	0.6127	0	1	1.552
3	1	129	2	0.8854	0.6069	1	1	1.552
3	1	130	1	0.8869	0.6069	0	1	1.552
3	1	131	1	0.8883	0.6069	0	1	1.552
3	1	132	2	0.8883	0.6013	0	1	1.552
3	1	133	2	0.8883	0.5961	1	1	1.552
3	1	134	1	0.8879	0.5961	0	1	1.552
3	1	135	2	0.8879	0.6118	1	1	1.552
3	1	136	2	0.8879	0.6065	0	1	1.552
3	1	137	2	0.8879	0.6223	1	1	1.552
3	1	138	2	0.8879	0.6383	0	1	1.552
3	1	139	2	0.8879	0.6560	1	1	1.552
3	1	140	2	0.8879	0.6499	0	1	1.552
3	1	141	2	0.8879	0.6674	1	1	1.552
3	1	142	1	0.8891	0.6674	1	1	1.552
3	1	143	1	0.8902	0.6674	1	1	1.552
3	1	144	2	0.8902	0.6864	1	1	1.552
3	1	145	2	0.8902	0.7068	1	1	1.552
3	1	146	1	0.8908	0.7068	0	1	1.552
3	1	147	1	0.8913	0.7068	1	1	1.552
3	1	148	2	0.8913	0.6999	1	1	1.552
3	1	149	1	0.8918	0.6999	0	1	1.552
3	1	150	2	0.8918	0.7196	1	1	1.552
3	1	151	2	0.8918	0.7402	1	1	1.552
3	1	152	2	0.8918	0.7612	0	1	1.552
3	1	153	2	0.8918	0.7544	0	1	1.552
3	1	154	1	0.8916	0.7544	0	1	1.552
3	1	155	2	0.8916	0.7739	0	1	1.552
3	1	156	1	0.8915	0.7739	1	1	1.552
