sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
3	1	2	0	2	-1	0.8903	0.7621	0	1	0.936
3	1	4	0	2	-1	0.8903	0.7621	1	0	1.484
3	1	6	0	1	-1	0.8903	0.7621	1	0	0.878
3	1	8	0	1	-1	0.8903	0.7621	0	1	1.001
3	1	10	0	2	-1	0.8903	0.7621	1	1	0.666
3	1	12	0	1	-1	0.8903	0.7621	0	1	0.990
3	1	14	0	1	-1	0.8903	0.7621	0	1	0.695
3	1	16	0	1	-1	0.8903	0.7621	1	0	1.203
3	1	18	0	2	-1	0.8903	0.7621	0	1	0.655
3	1	20	0	2	-1	0.8903	0.7621	0	1	0.678
3	1	22	0	2	-1	0.8903	0.7621	1	1	0.601
3	1	24	0	2	-1	0.8903	0.7621	0	1	0.651
3	1	26	0	1	-1	0.8903	0.7621	1	1	1.104
3	1	28	0	2	-1	0.8903	0.7621	1	1	0.704
3	1	30	0	1	-1	0.8903	0.7621	1	1	0.944
3	1	32	0	1	-1	0.8903	0.7621	0	1	0.456
3	1	34	0	1	-1	0.8903	0.7621	0	1	0.572
3	1	36	0	2	-1	0.8903	0.7621	0	1	0.468
3	1	38	0	1	-1	0.8903	0.7621	0	1	0.538
3	1	40	0	2	-1	0.8903	0.7621	1	0	0.733
3	1	42	0	1	-1	0.8903	0.7621	0	1	0.652
3	1	44	0	1	-1	0.8903	0.7621	1	1	0.467
3	1	46	0	1	-1	0.8903	0.7621	0	1	0.497
3	1	48	0	2	-1	0.8903	0.7621	0	1	0.397
3	1	50	0	2	-1	0.8903	0.7621	1	1	0.388
3	1	52	0	1	-1	0.8903	0.7621	1	1	0.408
3	1	54	0	2	-1	0.8903	0.7621	1	1	0.452
3	1	56	0	2	-1	0.8903	0.7621	0	1	0.391
3	1	58	0	2	-1	0.8903	0.7621	0	1	0.484
3	1	60	0	1	-1	0.8903	0.7621	1	1	0.357
3	1	62	0	1	-1	0.8903	0.7621	1	1	0.334
3	1	64	0	2	-1	0.8903	0.7621	1	1	0.424
3	1	66	0	2	-1	0.8903	0.7621	0	1	0.350
3	1	68	0	2	-1	0.8903	0.7621	1	1	0.361
3	1	70	0	1	-1	0.8903	0.7621	1	1	0.518
3	1	72	0	2	-1	0.8903	0.7621	0	1	0.308
3	1	74	0	1	-1	0.8903	0.7621	0	1	0.320
3	1	76	0	1	-1	0.8903	0.7621	1	1	0.355
3	1	78	0	2	-1	0.8903	0.7621	0	1	0.331
3	1	80	0	1	-1	0.8903	0.7621	0	1	0.379
3	1	82	0	1	-1	0.8903	0.7621	0	1	0.375
3	1	84	0	2	-1	0.8903	0.7621	0	1	0.377
3	1	86	0	1	-1	0.8903	0.7621	1	1	0.430
3	1	88	0	2	-1	0.8903	0.7621	1	1	0.369
3	1	90	0	2	-1	0.8903	0.7621	0	1	0.355
3	1	92	0	1	-1	0.8903	0.7621	0	1	0.450
3	1	94	0	1	-1	0.8903	0.7621	0	1	0.321
3	1	96	0	2	-1	0.8903	0.7621	0	1	0.514
3	1	98	0	2	-1	0.8903	0.7621	1	1	0.453
3	1	100	0	1	-1	0.8903	0.7621	0	1	0.280
3	1	102	0	1	-1	0.8903	0.7621	1	1	0.384
3	1	104	0	1	-1	0.8903	0.7621	0	1	0.408
3	1	106	0	1	-1	0.8903	0.7621	0	1	0.336
3	1	108	0	2	-1	0.8903	0.7621	1	1	0.375
3	1	110	0	1	-1	0.8903	0.7621	1	0	0.378
3	1	112	0	2	-1	0.8903	0.7621	0	1	0.333
3	1	114	0	1	-1	0.8903	0.7621	1	1	0.372
3	1	116	0	1	-1	0.8903	0.7621	1	1	0.405
3	1	118	0	1	-1	0.8903	0.7621	1	1	0.490
3	1	120	0	2	-1	0.8903	0.7621	1	1	0.322
3	1	122	0	2	-1	0.8903	0.7621	1	1	0.362
3	1	124	0	2	-1	0.8903	0.7621	1	1	0.343
3	1	126	0	2	-1	0.8903	0.7621	1	1	0.399
3	1	128	0	2	-1	0.8903	0.7621	0	1	0.352
