sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
1	1	2	1	1	-1	0.4370	0.3106	0	1	1.316
1	1	4	1	2	-1	0.4370	0.3106	1	0	1.279
1	1	6	1	2	-1	0.4370	0.3106	1	1	1.212
1	1	8	1	2	-1	0.4370	0.3106	0	1	0.934
1	1	10	1	1	-1	0.4370	0.3106	1	1	22.716
1	1	12	1	1	-1	0.4370	0.3106	1	1	0.948
1	1	14	1	1	-1	0.4370	0.3106	0	1	0.791
1	1	16	1	2	-1	0.4370	0.3106	0	1	0.774
1	1	18	1	1	-1	0.4370	0.3106	1	1	0.617
1	1	20	1	1	-1	0.4370	0.3106	1	1	0.605
1	1	22	1	2	-1	0.4370	0.3106	1	0	0.712
1	1	24	1	1	-1	0.4370	0.3106	0	1	0.698
1	1	26	1	1	-1	0.4370	0.3106	0	0	1.166
1	1	28	1	2	-1	0.4370	0.3106	0	1	0.559
1	1	30	1	1	-1	0.4370	0.3106	1	0	1.089
1	1	32	1	2	-1	0.4370	0.3106	0	1	0.901
1	1	34	1	1	-1	0.4370	0.3106	0	1	0.788
1	1	36	1	1	-1	0.4370	0.3106	1	1	0.769
1	1	38	1	1	-1	0.4370	0.3106	0	1	0.604
1	1	40	1	1	-1	0.4370	0.3106	0	1	0.532
1	1	42	1	2	-1	0.4370	0.3106	1	0	0.710
1	1	44	1	2	-1	0.4370	0.3106	1	1	0.673
1	1	46	1	1	-1	0.4370	0.3106	0	1	1.132
1	1	48	1	2	-1	0.4370	0.3106	1	1	0.762
1	1	50	1	2	-1	0.4370	0.3106	1	1	0.650
1	1	52	1	2	-1	0.4370	0.3106	1	1	1.072
1	1	54	1	2	-1	0.4370	0.3106	0	1	0.872
1	1	56	1	2	-1	0.4370	0.3106	0	1	0.725
1	1	58	1	1	-1	0.4370	0.3106	1	1	0.812
1	1	60	1	2	-1	0.4370	0.3106	0	1	1.184
1	1	62	1	1	-1	0.4370	0.3106	1	1	1.026
1	1	64	1	2	-1	0.4370	0.3106	0	1	1.403
1	1	66	1	1	-1	0.4370	0.3106	0	1	0.670
1	1	68	1	2	-1	0.4370	0.3106	0	1	0.899
1	1	70	1	1	-1	0.4370	0.3106	1	1	0.656
1	1	72	1	1	-1	0.4370	0.3106	0	1	0.808
1	1	74	1	2	-1	0.4370	0.3106	1	1	0.711
1	1	76	1	2	-1	0.4370	0.3106	1	1	0.678
1	1	78	1	2	-1	0.4370	0.3106	0	0	0.862
1	1	80	1	2	-1	0.4370	0.3106	0	1	0.690
1	1	82	1	1	-1	0.4370	0.3106	1	1	0.722
1	1	84	1	2	-1	0.4370	0.3106	0	1	0.668
1	1	86	1	2	-1	0.4370	0.3106	0	0	0.743
1	1	88	1	1	-1	0.4370	0.3106	0	1	0.640
1	1	90	1	2	-1	0.4370	0.3106	0	1	0.829
1	1	92	1	2	-1	0.4370	0.3106	0	1	1.008
1	1	94	1	1	-1	0.4370	0.3106	0	1	0.706
1	1	96	1	1	-1	0.4370	0.3106	1	1	0.705
1	1	98	1	2	-1	0.4370	0.3106	1	1	0.605
1	1	100	1	2	-1	0.4370	0.3106	1	1	0.863
1	1	102	1	2	-1	0.4370	0.3106	1	1	4.419
1	1	104	1	2	-1	0.4370	0.3106	0	1	0.690
1	1	106	1	1	-1	0.4370	0.3106	1	1	0.603
1	1	108	1	2	-1	0.4370	0.3106	1	1	0.832
1	1	110	1	2	-1	0.4370	0.3106	1	1	0.914
1	1	112	1	1	-1	0.4370	0.3106	0	1	0.690
1	1	114	1	1	-1	0.4370	0.3106	1	1	0.590
1	1	116	1	1	-1	0.4370	0.3106	1	1	0.830
1	1	118	1	1	-1	0.4370	0.3106	1	1	0.635
1	1	120	1	1	-1	0.4370	0.3106	0	1	0.567
1	1	122	1	1	-1	0.4370	0.3106	0	1	0.695
1	1	124	1	2	-1	0.4370	0.3106	1	1	0.693
1	1	126	1	1	-1	0.4370	0.3106	1	1	0.645
1	1	128	1	1	-1	0.4370	0.3106	0	1	0.589
