sub	sess	t	loc	co1	co2	or	resp	rt
1	1	1	2	1.0000	1.0000	1	1	1.627
1	1	2	2	1.0000	1.0000	1	1	1.998
1	1	3	1	1.0000	1.0000	1	0	10.750
1	1	4	1	1.0000	1.0000	0	0	16.272
1	1	5	1	1.0000	1.0000	0	1	1.508
1	1	6	1	1.0000	1.0000	0	1	1.170
1	1	7	2	1.0000	1.0000	1	1	1.324
1	1	8	2	1.0000	1.0000	1	1	1.329
1	1	9	2	1.0000	1.0000	1	1	1.103
1	1	10	1	1.0000	1.0000	0	1	1.251
1	1	11	2	1.0000	1.0000	0	1	0.960
1	1	12	2	1.0000	1.0000	0	1	0.896
1	1	13	1	1.0000	1.0000	1	1	1.157
1	1	14	1	1.0000	1.0000	1	1	0.879
1	1	15	2	1.0000	1.0000	0	1	0.750
1	1	16	2	1.0000	1.0000	0	1	0.787
1	1	17	1	1.0000	1.0000	1	1	0.950
1	1	18	2	1.0000	1.0000	1	1	0.760
1	1	19	1	1.0000	1.0000	1	1	0.875
1	1	20	2	1.0000	1.0000	0	1	0.623
1	1	21	2	1.0000	1.0000	1	1	1.787
1	1	22	2	1.0000	1.0000	1	1	1.222
1	1	23	1	1.0000	1.0000	1	1	1.587
1	1	24	1	1.0000	1.0000	0	1	1.024
1	1	25	1	1.0000	1.0000	1	1	1.259
1	1	26	2	1.0000	1.0000	0	1	1.034
1	1	27	1	1.0000	1.0000	0	1	1.047
1	1	28	2	1.0000	1.0000	0	1	1.707
1	1	29	2	0.2500	0.2500	1	1	1.707
1	1	30	2	0.2629	0.2629	0	1	1.707
1	1	31	1	0.2758	0.2758	1	1	1.707
1	1	32	1	0.2887	0.2887	1	1	1.707
1	1	33	2	0.3016	0.3016	0	1	1.707
1	1	34	1	0.3145	0.3145	0	1	1.707
1	1	35	2	0.3274	0.3274	0	1	1.707
1	1	36	2	0.3403	0.3403	1	1	1.707
1	1	37	2	0.3532	0.3532	0	1	1.707
1	1	38	2	0.3661	0.3661	1	1	1.707
1	1	39	2	0.3790	0.3790	0	1	1.707
1	1	40	2	0.3919	0.3919	1	1	1.707
1	1	41	1	0.4048	0.4048	1	1	1.707
1	1	42	1	0.4177	0.4177	0	1	1.707
1	1	43	1	0.4306	0.4306	1	1	1.707
1	1	44	1	0.4435	0.4435	0	1	1.707
1	1	45	1	0.4565	0.4565	0	1	1.707
1	1	46	2	0.4694	0.4694	0	1	1.707
1	1	47	1	0.4823	0.4823	1	1	1.707
1	1	48	1	0.4952	0.4952	0	1	1.707
1	1	49	2	0.5081	0.5081	0	1	1.707
1	1	50	1	0.5210	0.5210	1	1	1.707
1	1	51	1	0.5339	0.5339	1	1	1.707
1	1	52	2	0.5468	0.5468	0	1	1.707
1	1	53	1	0.5597	0.5597	1	1	1.707
1	1	54	2	0.5726	0.5726	1	1	1.707
1	1	55	2	0.5855	0.5855	1	1	1.707
1	1	56	1	0.5984	0.5984	1	1	1.707
1	1	57	2	0.6113	0.6113	1	1	1.707
1	1	58	2	0.6242	0.6242	1	1	1.707
1	1	59	1	0.6371	0.6371	0	1	1.707
