sub	sess	t	loc	cue	co1	co2	or	resp	rt
3	1	1	1	2	0.3275	0.2965	0	1	1.666
3	1	2	1	2	0.3275	0.2965	1	1	1.093
3	1	3	2	2	0.3275	0.2965	0	0	1.875
3	1	4	1	2	0.3275	0.2965	0	1	1.715
3	1	5	1	2	0.3275	0.2965	1	1	1.242
3	1	6	1	2	0.3275	0.2965	0	1	0.890
3	1	7	1	2	0.3275	0.2965	1	0	0.922
3	1	8	2	2	0.3275	0.2965	1	1	1.252
3	1	9	2	2	0.3275	0.2965	0	1	0.713
3	1	10	1	2	0.3275	0.2965	1	1	1.385
3	1	11	2	2	0.3275	0.2965	1	1	0.819
3	1	12	1	2	0.3275	0.2965	1	1	1.657
3	1	13	1	2	0.3275	0.2965	1	0	1.036
3	1	14	1	2	0.3275	0.2965	0	0	1.142
3	1	15	1	2	0.3275	0.2965	0	1	1.456
3	1	16	1	2	0.3275	0.2965	1	1	0.951
3	1	17	1	2	0.3275	0.2965	0	1	1.447
3	1	18	1	2	0.3275	0.2965	1	1	0.774
3	1	19	1	2	0.3275	0.2965	0	1	0.959
3	1	20	1	2	0.3275	0.2965	0	0	1.723
3	1	21	1	2	0.3275	0.2965	0	1	1.268
3	1	22	1	2	0.3275	0.2965	1	0	1.120
3	1	23	1	2	0.3275	0.2965	1	1	0.752
3	1	24	2	2	0.3275	0.2965	1	1	1.404
3	1	25	1	2	0.3275	0.2965	0	1	0.830
3	1	26	1	2	0.3275	0.2965	1	1	1.122
3	1	27	1	2	0.3275	0.2965	0	1	0.713
3	1	28	1	2	0.3275	0.2965	0	1	0.777
3	1	29	1	2	0.3275	0.2965	0	1	0.713
3	1	30	1	2	0.3275	0.2965	1	1	0.835
3	1	31	2	2	0.3275	0.2965	0	1	0.706
3	1	32	1	2	0.3275	0.2965	1	1	0.857
3	1	33	2	2	0.3275	0.2965	1	0	0.769
3	1	34	1	2	0.3275	0.2965	1	1	0.834
3	1	35	2	2	0.3275	0.2965	0	1	0.709
3	1	36	1	2	0.3275	0.2965	0	1	0.651
3	1	37	1	2	0.3275	0.2965	1	1	0.974
3	1	38	1	2	0.3275	0.2965	0	1	0.664
3	1	39	1	2	0.3275	0.2965	1	0	1.253
3	1	40	1	2	0.3275	0.2965	0	0	1.199
3	1	41	1	2	0.3275	0.2965	0	1	0.805
