sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
3	1	1	0	1	3	0.3275	0.2965	1	1	0.779
3	1	2	0	1	3	0.3275	0.2965	0	1	1.025
3	1	3	0	2	3	0.3275	0.2965	1	1	0.816
3	1	4	0	2	1	0.3275	0.2965	0	1	0.825
3	1	5	0	1	2	0.3275	0.2965	0	1	0.599
3	1	6	0	2	3	0.3275	0.2965	1	0	0.807
3	1	7	0	2	2	0.3275	0.2965	0	1	0.661
3	1	8	0	1	1	0.3275	0.2965	0	1	1.120
3	1	9	0	1	2	0.3275	0.2965	1	1	1.064
3	1	10	0	1	2	0.3275	0.2965	1	1	0.748
3	1	11	0	2	2	0.3275	0.2965	1	1	0.700
3	1	12	0	2	3	0.3275	0.2965	0	1	0.668
3	1	13	0	2	3	0.3275	0.2965	0	1	0.572
3	1	14	0	2	2	0.3275	0.2965	0	1	0.600
3	1	15	0	1	1	0.3275	0.2965	1	1	0.772
3	1	16	0	1	3	0.3275	0.2965	0	1	0.740
3	1	17	0	2	1	0.3275	0.2965	0	1	0.648
3	1	18	0	1	2	0.3275	0.2965	0	1	0.683
3	1	19	0	2	1	0.3275	0.2965	1	0	0.907
3	1	20	0	2	1	0.3275	0.2965	0	1	0.788
3	1	21	0	1	3	0.3275	0.2965	1	1	0.695
3	1	22	0	2	1	0.3275	0.2965	1	1	0.639
3	1	23	0	1	2	0.3275	0.2965	0	1	0.653
3	1	24	0	1	2	0.3275	0.2965	1	0	1.003
3	1	25	0	1	1	0.3275	0.2965	1	1	0.989
3	1	26	0	2	2	0.3275	0.2965	1	1	0.602
3	1	27	0	2	1	0.3275	0.2965	1	1	0.560
3	1	28	0	2	1	0.3275	0.2965	1	1	0.553
3	1	29	0	1	1	0.3275	0.2965	0	1	0.635
3	1	30	0	2	1	0.3275	0.2965	0	1	0.589
3	1	31	0	1	2	0.3275	0.2965	1	0	1.134
3	1	32	0	1	2	0.3275	0.2965	0	1	0.795
3	1	33	1	2	1	0.3275	0.2965	0	1	0.731
3	1	34	1	2	3	0.3275	0.2965	1	1	0.921
3	1	35	1	2	2	0.3275	0.2965	1	1	0.591
3	1	36	1	2	2	0.3275	0.2965	0	1	0.651
3	1	37	1	2	3	0.3275	0.2965	1	0	0.180
3	1	38	1	2	2	0.3275	0.2965	0	1	0.931
3	1	39	1	1	2	0.3275	0.2965	0	1	0.669
3	1	40	1	2	3	0.3275	0.2965	0	1	0.818
3	1	41	1	1	2	0.3275	0.2965	1	1	0.570
3	1	42	1	2	1	0.3275	0.2965	0	0	0.787
3	1	43	1	1	1	0.3275	0.2965	1	1	0.629
3	1	44	1	1	1	0.3275	0.2965	0	1	0.614
3	1	45	1	2	1	0.3275	0.2965	1	1	1.075
3	1	46	1	1	2	0.3275	0.2965	1	0	0.773
3	1	47	1	2	1	0.3275	0.2965	1	0	0.858
3	1	48	1	2	2	0.3275	0.2965	1	1	0.792
3	1	49	1	1	1	0.3275	0.2965	1	1	0.737
3	1	50	1	2	1	0.3275	0.2965	1	1	0.676
3	1	51	1	1	2	0.3275	0.2965	0	0	1.119
3	1	52	1	1	2	0.3275	0.2965	0	0	1.003
3	1	53	1	2	1	0.3275	0.2965	1	1	0.939
3	1	54	1	1	2	0.3275	0.2965	1	1	0.751
3	1	55	1	1	2	0.3275	0.2965	0	1	0.656
3	1	56	1	1	3	0.3275	0.2965	1	1	0.639
3	1	57	1	1	1	0.3275	0.2965	0	1	0.855
3	1	58	1	1	3	0.3275	0.2965	0	1	0.675
3	1	59	1	1	3	0.3275	0.2965	0	1	0.594
3	1	60	1	2	1	0.3275	0.2965	0	0	0.800
3	1	61	1	1	3	0.3275	0.2965	1	0	0.744
3	1	62	1	1	2	0.3275	0.2965	1	1	0.776
3	1	63	1	2	3	0.3275	0.2965	0	1	0.622
3	1	64	1	2	1	0.3275	0.2965	0	0	0.669
